Type,Capaciteit (kg),Snelheid (m/min),Parten
ST 2005-16/4 1/1,500,16/4,1/1
ST 2006-12 1/1,630,12,1/1
ST 2006-12/3 1/1,630,12/3,1/1
ST 2008-8 1/1,800,8,1/1
ST 2008-8/2 1/1,800,8/2,1/1
ST 2008-12 1/1,800,12,1/1
ST 2008-12/3 1/1,800,12/3,1/1
ST 2005-12 2/1,1.000,12,2/1
ST 2005-12/3 2/1,1.000,12/3,2/1
ST 2010-8 1/1,1.000,8,1/1
ST 2010-8/2 1/1,1.000,8/2,1/1
ST 2010-12 1/1,1.000,12,1/1
ST 2010-12/3 1/1,1.000,12/3,1/1
ST 2006-12 2/1,1.250,12,2/1
ST 2006-12/3 2/1,1.250,12/3,2/1
ST 2008-8 2/1,1.600,8,2/1
ST 2008-8/2 2/1,1.600,8/2,2/1
ST 2008-16/4 2/1,1.600,16/4,2/1
ST 2010-8 2/1,2.000,8,2/1
ST 2010-8/2 2/1,2.000,8/2,2/1
ST 2010-12 2/1,2.000,12,2/1
ST 2010-12/3 2/1,2.000,12/3,2/1