ID,Type,SKU,Parent,Regular price,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global
,variable,st10-series,,,Type,"ST 0503-6 2/1, ST 0503-6/1,5 2/1, ST 1002-16/4 1/1, ST 1002-25/6,3 1/1, ST 1002-8 2/1, ST 1002-8/2 2/1, ST 1003-12 1/1, ST 1003-12/3 1/1, ST 1003-8 1/1, ST 1003-8/2 1/1, ST 1003-8/2 2/1, ST 1004-8 2/1, ST 1004-8/2 2/1, ST 1005-12 1/1, ST 1005-12 2/1, ST 1005-12/3 1/1, ST 1005-12/3 2/1, ST 1005-8 1/1, ST 1005-8 2/1, ST 1005-8/2 1/1, ST 1005-8/2 2/1",1,0,Capaciteit (kg),"1.000, 250, 320, 500, 630, 800",1,0,Snelheid (m/min),"12, 12/3, 16/4, 25/6,3, 6, 6/1,5, 8, 8/2",1,0,Parten,"1/1, 2/1",1,0
,variable,st20-series,,,Type,"ST 2005-12 2/1, ST 2005-12/3 2/1, ST 2005-16/4 1/1, ST 2006-12 1/1, ST 2006-12 2/1, ST 2006-12/3 1/1, ST 2006-12/3 2/1, ST 2008-12 1/1, ST 2008-12/3 1/1, ST 2008-16/4 2/1, ST 2008-8 1/1, ST 2008-8 2/1, ST 2008-8/2 1/1, ST 2008-8/2 2/1, ST 2010-12 1/1, ST 2010-12 2/1, ST 2010-12/3 1/1, ST 2010-12/3 2/1, ST 2010-8 1/1, ST 2010-8 2/1, ST 2010-8/2 1/1, ST 2010-8/2 2/1",1,0,Capaciteit (kg),"1.000, 1.250, 1.600, 2.000, 500, 630, 800",1,0,Snelheid (m/min),"12, 12/3, 16/4, 8, 8/2",1,0,Parten,"1/1, 2/1",1,0
,variable,st05-series,,,Type,"ST 0501-16 1/1, ST 0501-16/4 1/1, ST 0501-8 1/1, ST 0501-8/2 1/1, ST 0502-8 1/1, ST 0502-8 2/1, ST 0502-8/2 1/1, ST 0502-8/2 2/1, ST 0503-6 1/1, ST 0503-6 2/1, ST 0503-6/1,5 1/1, ST 0503-6/1,5 2/1",1,0,Capaciteit (kg),"125, 250, 320, 500, 630",1,0,Snelheid (m/min),"16, 16/4, 6, 6/1,5, 8, 8/2",1,0,Parten,"1/1, 2/1",1,0
,variable,st30-series,,,Type,"ST 3012-8 1/1, ST 3012-8 2/1, ST 3012-8/2 1/1, ST 3012-8/2 2/1, ST 3016-8 1/1, ST 3016-8 2/1, ST 3016-8/2 1/1, ST 3016-8/2 2/1, ST 3210-12/3 2/1, ST 3210-16/4 1/1, ST 3210-8/2 1/1, ST 3210-8/2 2/1, ST 3212-12/3 2/1, ST 3212-16/4 1/1, ST 3212-8/2 1/1, ST 3212-8/2 2/1, ST 3216-12/3 1/1, ST 3216-12/3 2/1, ST 3216-8/2 1/1, ST 3216-8/2 2/1",1,0,Capaciteit (kg),"1.000, 1.250, 1.600, 1000, 2.000, 2.500, 3.200",1,0,Snelheid (m/min),"12/3, 16/4, 8, 8/2",1,0,Parten,"1/1, 2/1",1,0
,variable,st50-series,,,Type,"ST 5016-8/2 1/1, ST 5016-8/2 2/1, ST 5020-6/1,5 1/1, ST 5020-6/1,5 2/1, ST 5020-8/2 1/1, ST 5020-8/2 2/1, ST 5025-6/1,5 1/1, ST 5025-6/1,5 2/1, ST 5025-8/2 1/1, ST 5025-8/2 2/1",1,0,Capaciteit (kg),"1.600, 2.000, 2.500, 3.200, 4.000, 5.000",1,0,Snelheid (m/min),"6/1,5, 8/2",1,0,Parten,"1/1, 2/1",1,0
,variable,st60-series,,,Type,"ST 6032-6/1,5 1/1, ST 6032-6/1,5 2/1",1,0,Capaciteit (kg),"3.200, 6.300",1,0,Snelheid (m/min),"6/1,5",1,0,Parten,"1/1, 2/1",1,0
,variation,st10-series-001,st10-series,0,Type,ST 1002-16/4 1/1,1,0,Capaciteit (kg),250,1,0,Snelheid (m/min),16/4,1,0,Parten,1/1,1,0
,variation,st10-series-002,st10-series,0,Type,"ST 1002-25/6,3 1/1",1,0,Capaciteit (kg),250,1,0,Snelheid (m/min),"25/6,3",1,0,Parten,1/1,1,0
,variation,st10-series-003,st10-series,0,Type,ST 1003-8 1/1,1,0,Capaciteit (kg),320,1,0,Snelheid (m/min),8,1,0,Parten,1/1,1,0
,variation,st10-series-004,st10-series,0,Type,ST 1003-8/2 1/1,1,0,Capaciteit (kg),320,1,0,Snelheid (m/min),8/2,1,0,Parten,1/1,1,0
,variation,st10-series-005,st10-series,0,Type,ST 1003-12 1/1,1,0,Capaciteit (kg),320,1,0,Snelheid (m/min),12,1,0,Parten,1/1,1,0
,variation,st10-series-006,st10-series,0,Type,ST 1003-12/3 1/1,1,0,Capaciteit (kg),320,1,0,Snelheid (m/min),12/3,1,0,Parten,1/1,1,0
,variation,st10-series-007,st10-series,0,Type,ST 1002-8 2/1,1,0,Capaciteit (kg),500,1,0,Snelheid (m/min),8,1,0,Parten,1/1,1,0
,variation,st10-series-008,st10-series,0,Type,ST 1002-8/2 2/1,1,0,Capaciteit (kg),500,1,0,Snelheid (m/min),8/2,1,0,Parten,1/1,1,0
,variation,st10-series-009,st10-series,0,Type,ST 1005-8 1/1,1,0,Capaciteit (kg),500,1,0,Snelheid (m/min),8,1,0,Parten,1/1,1,0
,variation,st10-series-010,st10-series,0,Type,ST 1005-8/2 1/1,1,0,Capaciteit (kg),500,1,0,Snelheid (m/min),8/2,1,0,Parten,1/1,1,0
,variation,st10-series-011,st10-series,0,Type,ST 1005-12 1/1,1,0,Capaciteit (kg),500,1,0,Snelheid (m/min),12,1,0,Parten,1/1,1,0
,variation,st10-series-012,st10-series,0,Type,ST 1005-12/3 1/1,1,0,Capaciteit (kg),500,1,0,Snelheid (m/min),12/3,1,0,Parten,1/1,1,0
,variation,st10-series-013,st10-series,0,Type,ST 0503-6 2/1,1,0,Capaciteit (kg),630,1,0,Snelheid (m/min),6,1,0,Parten,2/1,1,0
,variation,st10-series-014,st10-series,0,Type,"ST 0503-6/1,5 2/1",1,0,Capaciteit (kg),630,1,0,Snelheid (m/min),"6/1,5",1,0,Parten,2/1,1,0
,variation,st10-series-015,st10-series,0,Type,ST 1003-8/2 2/1,1,0,Capaciteit (kg),630,1,0,Snelheid (m/min),8/2,1,0,Parten,2/1,1,0
,variation,st10-series-016,st10-series,0,Type,ST 1004-8 2/1,1,0,Capaciteit (kg),800,1,0,Snelheid (m/min),8,1,0,Parten,2/1,1,0
,variation,st10-series-017,st10-series,0,Type,ST 1004-8/2 2/1,1,0,Capaciteit (kg),800,1,0,Snelheid (m/min),8/2,1,0,Parten,2/1,1,0
,variation,st10-series-018,st10-series,0,Type,ST 1005-8 2/1,1,0,Capaciteit (kg),1.000,1,0,Snelheid (m/min),8,1,0,Parten,2/1,1,0
,variation,st10-series-019,st10-series,0,Type,ST 1005-8/2 2/1,1,0,Capaciteit (kg),1.000,1,0,Snelheid (m/min),8/2,1,0,Parten,2/1,1,0
,variation,st10-series-020,st10-series,0,Type,ST 1005-12 2/1,1,0,Capaciteit (kg),1.000,1,0,Snelheid (m/min),12,1,0,Parten,2/1,1,0
,variation,st10-series-021,st10-series,0,Type,ST 1005-12/3 2/1,1,0,Capaciteit (kg),1.000,1,0,Snelheid (m/min),12/3,1,0,Parten,2/1,1,0
,variation,st20-series-001,st20-series,0,Type,ST 2005-16/4 1/1,1,0,Capaciteit (kg),500,1,0,Snelheid (m/min),16/4,1,0,Parten,1/1,1,0
,variation,st20-series-002,st20-series,0,Type,ST 2006-12 1/1,1,0,Capaciteit (kg),630,1,0,Snelheid (m/min),12,1,0,Parten,1/1,1,0
,variation,st20-series-003,st20-series,0,Type,ST 2006-12/3 1/1,1,0,Capaciteit (kg),630,1,0,Snelheid (m/min),12/3,1,0,Parten,1/1,1,0
,variation,st20-series-004,st20-series,0,Type,ST 2008-8 1/1,1,0,Capaciteit (kg),800,1,0,Snelheid (m/min),8,1,0,Parten,1/1,1,0
,variation,st20-series-005,st20-series,0,Type,ST 2008-8/2 1/1,1,0,Capaciteit (kg),800,1,0,Snelheid (m/min),8/2,1,0,Parten,1/1,1,0
,variation,st20-series-006,st20-series,0,Type,ST 2008-12 1/1,1,0,Capaciteit (kg),800,1,0,Snelheid (m/min),12,1,0,Parten,1/1,1,0
,variation,st20-series-007,st20-series,0,Type,ST 2008-12/3 1/1,1,0,Capaciteit (kg),800,1,0,Snelheid (m/min),12/3,1,0,Parten,1/1,1,0
,variation,st20-series-008,st20-series,0,Type,ST 2005-12 2/1,1,0,Capaciteit (kg),1.000,1,0,Snelheid (m/min),12,1,0,Parten,2/1,1,0
,variation,st20-series-009,st20-series,0,Type,ST 2005-12/3 2/1,1,0,Capaciteit (kg),1.000,1,0,Snelheid (m/min),12/3,1,0,Parten,2/1,1,0
,variation,st20-series-010,st20-series,0,Type,ST 2010-8 1/1,1,0,Capaciteit (kg),1.000,1,0,Snelheid (m/min),8,1,0,Parten,1/1,1,0
,variation,st20-series-011,st20-series,0,Type,ST 2010-8/2 1/1,1,0,Capaciteit (kg),1.000,1,0,Snelheid (m/min),8/2,1,0,Parten,1/1,1,0
,variation,st20-series-012,st20-series,0,Type,ST 2010-12 1/1,1,0,Capaciteit (kg),1.000,1,0,Snelheid (m/min),12,1,0,Parten,1/1,1,0
,variation,st20-series-013,st20-series,0,Type,ST 2010-12/3 1/1,1,0,Capaciteit (kg),1.000,1,0,Snelheid (m/min),12/3,1,0,Parten,1/1,1,0
,variation,st20-series-014,st20-series,0,Type,ST 2006-12 2/1,1,0,Capaciteit (kg),1.250,1,0,Snelheid (m/min),12,1,0,Parten,2/1,1,0
,variation,st20-series-015,st20-series,0,Type,ST 2006-12/3 2/1,1,0,Capaciteit (kg),1.250,1,0,Snelheid (m/min),12/3,1,0,Parten,2/1,1,0
,variation,st20-series-016,st20-series,0,Type,ST 2008-8 2/1,1,0,Capaciteit (kg),1.600,1,0,Snelheid (m/min),8,1,0,Parten,2/1,1,0
,variation,st20-series-017,st20-series,0,Type,ST 2008-8/2 2/1,1,0,Capaciteit (kg),1.600,1,0,Snelheid (m/min),8/2,1,0,Parten,2/1,1,0
,variation,st20-series-018,st20-series,0,Type,ST 2008-16/4 2/1,1,0,Capaciteit (kg),1.600,1,0,Snelheid (m/min),16/4,1,0,Parten,2/1,1,0
,variation,st20-series-019,st20-series,0,Type,ST 2010-8 2/1,1,0,Capaciteit (kg),2.000,1,0,Snelheid (m/min),8,1,0,Parten,2/1,1,0
,variation,st20-series-020,st20-series,0,Type,ST 2010-8/2 2/1,1,0,Capaciteit (kg),2.000,1,0,Snelheid (m/min),8/2,1,0,Parten,2/1,1,0
,variation,st20-series-021,st20-series,0,Type,ST 2010-12 2/1,1,0,Capaciteit (kg),2.000,1,0,Snelheid (m/min),12,1,0,Parten,2/1,1,0
,variation,st20-series-022,st20-series,0,Type,ST 2010-12/3 2/1,1,0,Capaciteit (kg),2.000,1,0,Snelheid (m/min),12/3,1,0,Parten,2/1,1,0
,variation,st05-series-001,st05-series,0,Type,ST 0501-8 1/1,1,0,Capaciteit (kg),125,1,0,Snelheid (m/min),8,1,0,Parten,1/1,1,0
,variation,st05-series-002,st05-series,0,Type,ST 0501-8/2 1/1,1,0,Capaciteit (kg),125,1,0,Snelheid (m/min),8/2,1,0,Parten,1/1,1,0
,variation,st05-series-003,st05-series,0,Type,ST 0501-16 1/1,1,0,Capaciteit (kg),125,1,0,Snelheid (m/min),16,1,0,Parten,1/1,1,0
,variation,st05-series-004,st05-series,0,Type,ST 0501-16/4 1/1,1,0,Capaciteit (kg),125,1,0,Snelheid (m/min),16/4,1,0,Parten,1/1,1,0
,variation,st05-series-005,st05-series,0,Type,ST 0502-8 1/1,1,0,Capaciteit (kg),250,1,0,Snelheid (m/min),8,1,0,Parten,1/1,1,0
,variation,st05-series-006,st05-series,0,Type,ST 0502-8/2 1/1,1,0,Capaciteit (kg),250,1,0,Snelheid (m/min),8/2,1,0,Parten,1/1,1,0
,variation,st05-series-007,st05-series,0,Type,ST 0503-6 1/1,1,0,Capaciteit (kg),320,1,0,Snelheid (m/min),6,1,0,Parten,1/1,1,0
,variation,st05-series-008,st05-series,0,Type,"ST 0503-6/1,5 1/1",1,0,Capaciteit (kg),320,1,0,Snelheid (m/min),"6/1,5",1,0,Parten,1/1,1,0
,variation,st05-series-009,st05-series,0,Type,ST 0502-8 2/1,1,0,Capaciteit (kg),500,1,0,Snelheid (m/min),8,1,0,Parten,2/1,1,0
,variation,st05-series-010,st05-series,0,Type,ST 0502-8/2 2/1,1,0,Capaciteit (kg),500,1,0,Snelheid (m/min),8/2,1,0,Parten,2/1,1,0
,variation,st05-series-011,st05-series,0,Type,ST 0503-6 2/1,1,0,Capaciteit (kg),630,1,0,Snelheid (m/min),6,1,0,Parten,2/1,1,0
,variation,st05-series-012,st05-series,0,Type,"ST 0503-6/1,5 2/1",1,0,Capaciteit (kg),630,1,0,Snelheid (m/min),"6/1,5",1,0,Parten,2/1,1,0
,variation,st30-series-001,st30-series,0,Type,ST 3210-8/2 1/1,1,0,Capaciteit (kg),1000,1,0,Snelheid (m/min),8/2,1,0,Parten,1/1,1,0
,variation,st30-series-002,st30-series,0,Type,ST 3210-16/4 1/1,1,0,Capaciteit (kg),1.000,1,0,Snelheid (m/min),16/4,1,0,Parten,1/1,1,0
,variation,st30-series-003,st30-series,0,Type,ST 3012-8 1/1,1,0,Capaciteit (kg),1.250,1,0,Snelheid (m/min),8,1,0,Parten,1/1,1,0
,variation,st30-series-004,st30-series,0,Type,ST 3012-8/2 1/1,1,0,Capaciteit (kg),1.250,1,0,Snelheid (m/min),8/2,1,0,Parten,1/1,1,0
,variation,st30-series-005,st30-series,0,Type,ST 3212-8/2 1/1,1,0,Capaciteit (kg),1.250,1,0,Snelheid (m/min),8/2,1,0,Parten,1/1,1,0
,variation,st30-series-006,st30-series,0,Type,ST 3212-16/4 1/1,1,0,Capaciteit (kg),1.250,1,0,Snelheid (m/min),16/4,1,0,Parten,1/1,1,0
,variation,st30-series-007,st30-series,0,Type,ST 3016-8 1/1,1,0,Capaciteit (kg),1.600,1,0,Snelheid (m/min),8,1,0,Parten,1/1,1,0
,variation,st30-series-008,st30-series,0,Type,ST 3016-8/2 1/1,1,0,Capaciteit (kg),1.600,1,0,Snelheid (m/min),8/2,1,0,Parten,1/1,1,0
,variation,st30-series-009,st30-series,0,Type,ST 3216-8/2 1/1,1,0,Capaciteit (kg),1.600,1,0,Snelheid (m/min),8/2,1,0,Parten,1/1,1,0
,variation,st30-series-010,st30-series,0,Type,ST 3216-12/3 1/1,1,0,Capaciteit (kg),1.600,1,0,Snelheid (m/min),12/3,1,0,Parten,1/1,1,0
,variation,st30-series-011,st30-series,0,Type,ST 3210-8/2 2/1,1,0,Capaciteit (kg),2.000,1,0,Snelheid (m/min),8/2,1,0,Parten,2/1,1,0
,variation,st30-series-012,st30-series,0,Type,ST 3210-12/3 2/1,1,0,Capaciteit (kg),2.000,1,0,Snelheid (m/min),12/3,1,0,Parten,2/1,1,0
,variation,st30-series-013,st30-series,0,Type,ST 3012-8 2/1,1,0,Capaciteit (kg),2.500,1,0,Snelheid (m/min),8,1,0,Parten,2/1,1,0
,variation,st30-series-014,st30-series,0,Type,ST 3012-8/2 2/1,1,0,Capaciteit (kg),2.500,1,0,Snelheid (m/min),8/2,1,0,Parten,2/1,1,0
,variation,st30-series-015,st30-series,0,Type,ST 3212-8/2 2/1,1,0,Capaciteit (kg),2.500,1,0,Snelheid (m/min),8/2,1,0,Parten,2/1,1,0
,variation,st30-series-016,st30-series,0,Type,ST 3212-12/3 2/1,1,0,Capaciteit (kg),2.500,1,0,Snelheid (m/min),12/3,1,0,Parten,2/1,1,0
,variation,st30-series-017,st30-series,0,Type,ST 3016-8 2/1,1,0,Capaciteit (kg),3.200,1,0,Snelheid (m/min),8,1,0,Parten,2/1,1,0
,variation,st30-series-018,st30-series,0,Type,ST 3016-8/2 2/1,1,0,Capaciteit (kg),3.200,1,0,Snelheid (m/min),8/2,1,0,Parten,2/1,1,0
,variation,st30-series-019,st30-series,0,Type,ST 3216-8/2 2/1,1,0,Capaciteit (kg),3.200,1,0,Snelheid (m/min),8/2,1,0,Parten,2/1,1,0
,variation,st30-series-020,st30-series,0,Type,ST 3216-12/3 2/1,1,0,Capaciteit (kg),3.200,1,0,Snelheid (m/min),12/3,1,0,Parten,2/1,1,0
,variation,st50-series-001,st50-series,0,Type,ST 5016-8/2 1/1,1,0,Capaciteit (kg),1.600,1,0,Snelheid (m/min),8/2,1,0,Parten,1/1,1,0
,variation,st50-series-002,st50-series,0,Type,"ST 5020-6/1,5 1/1",1,0,Capaciteit (kg),2.000,1,0,Snelheid (m/min),"6/1,5",1,0,Parten,1/1,1,0
,variation,st50-series-003,st50-series,0,Type,ST 5020-8/2 1/1,1,0,Capaciteit (kg),2.000,1,0,Snelheid (m/min),8/2,1,0,Parten,1/1,1,0
,variation,st50-series-004,st50-series,0,Type,"ST 5025-6/1,5 1/1",1,0,Capaciteit (kg),2.500,1,0,Snelheid (m/min),"6/1,5",1,0,Parten,1/1,1,0
,variation,st50-series-005,st50-series,0,Type,ST 5025-8/2 1/1,1,0,Capaciteit (kg),2.500,1,0,Snelheid (m/min),8/2,1,0,Parten,1/1,1,0
,variation,st50-series-006,st50-series,0,Type,ST 5016-8/2 2/1,1,0,Capaciteit (kg),3.200,1,0,Snelheid (m/min),8/2,1,0,Parten,2/1,1,0
,variation,st50-series-007,st50-series,0,Type,"ST 5020-6/1,5 2/1",1,0,Capaciteit (kg),4.000,1,0,Snelheid (m/min),"6/1,5",1,0,Parten,2/1,1,0
,variation,st50-series-008,st50-series,0,Type,ST 5020-8/2 2/1,1,0,Capaciteit (kg),4.000,1,0,Snelheid (m/min),8/2,1,0,Parten,2/1,1,0
,variation,st50-series-009,st50-series,0,Type,"ST 5025-6/1,5 2/1",1,0,Capaciteit (kg),5.000,1,0,Snelheid (m/min),"6/1,5",1,0,Parten,2/1,1,0
,variation,st50-series-010,st50-series,0,Type,ST 5025-8/2 2/1,1,0,Capaciteit (kg),5.000,1,0,Snelheid (m/min),8/2,1,0,Parten,2/1,1,0
,variation,st60-series-001,st60-series,0,Type,"ST 6032-6/1,5 1/1",1,0,Capaciteit (kg),3.200,1,0,Snelheid (m/min),"6/1,5",1,0,Parten,1/1,1,0
,variation,st60-series-002,st60-series,0,Type,"ST 6032-6/1,5 2/1",1,0,Capaciteit (kg),6.300,1,0,Snelheid (m/min),"6/1,5",1,0,Parten,2/1,1,0
