Artikelnummer,Omschrijving,Capaciteit,Balkbreedt,Gewicht
N05141273,HTP 500,500,50-220,8
N05141274,HTP 1000,1000,50-220,9
N05141275,HTP 2000,2000,66-220,16
N05141276,HTP 3000,3000,74-220,32
N05141277,HTP 5000,5000,90-220,48
N05148305,HTP 500,500,160-300,12
N05148306,HTP 1000,1000,160-300,"12,8"
N05148307,HTP 2000,2000,160-300,"20,5"
N05148308,HTP 3000,3000,160-300,"40,6"
N05148309,HTP 5000,5000,160-300,59
N5300006,HTG 500,500,50-220,13
N5300007,HTG 1000,1000,50-220,14
N5300008,HTG 2000,2000,66-220,21
N5300009,HTG 3000,3000,74-220,40
N5300010,HTG 5000,5000,90-220,56
N5300011,HTG 500,500,160-300,16
N5300012,HTG 1000,1000,160-300,18
N5300013,HTG 2000,2000,160-300,25
N5300014,HTG 3000,3000,160-300,45
N5300015,HTG 5000,5000,180-300,65
N5300016,HTG 8000,8000,125-310,117
192045613,HTG 30000,30000,175-305,248
192045614,HTG 50000,50000,175-305,489